                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.93079,                 0.6599,                0.96387,                0.94322,                0.83721,                0.88664,                0.60496,                 1.4259,                0.73996,                  1.193,              0.0015974,              0.0015974,              0.0015974
                     63,                0.92462,                0.59768,                0.91692,                0.98965,                0.83721,                0.94345,                0.62372,                 1.3277,                0.80173,                 1.1583,              0.0015908,              0.0015908,              0.0015908
                     64,                 0.9075,                0.60374,                0.91272,                0.90078,                0.93023,                0.94296,                0.65228,                0.92437,                0.75523,                0.91473,              0.0015842,              0.0015842,              0.0015842
                     65,                0.89916,                0.62596,                0.93996,                0.90119,                0.88372,                 0.9366,                0.62767,                 1.0153,                0.62429,                0.93731,              0.0015776,              0.0015776,              0.0015776
                     66,                 0.9444,                0.59806,                0.93713,                0.97488,                0.90276,                0.94949,                0.62777,                0.96428,                 0.6106,                0.94628,               0.001571,               0.001571,               0.001571
                     67,                 0.9332,                0.58346,                0.93244,                0.83017,                0.88372,                0.91182,                0.66442,                0.89222,                0.65645,                0.93219,              0.0015644,              0.0015644,              0.0015644
                     68,                0.86066,                0.56433,                 0.9198,                0.93946,                0.83721,                0.94492,                0.68231,                0.94886,                0.65598,                0.91856,              0.0015578,              0.0015578,              0.0015578
                     69,                0.88459,                0.56662,                0.90905,                0.88379,                 0.8843,                0.94626,                 0.6693,                0.94684,                0.64718,                0.92785,              0.0015512,              0.0015512,              0.0015512
                     70,                0.88624,                0.57934,                0.93266,                0.88149,                0.93023,                0.94881,                0.64563,                0.94472,                0.60997,                0.94807,              0.0015446,              0.0015446,              0.0015446
                     71,                0.87371,                0.56693,                0.91414,                0.87997,                0.93023,                0.94248,                0.67875,                 1.0533,                0.63363,                0.96335,               0.001538,               0.001538,               0.001538
                     72,                0.85922,                0.56964,                0.92096,                0.92303,                0.88372,                0.92752,                0.65433,                0.88103,                0.64338,                0.91533,              0.0015314,              0.0015314,              0.0015314
                     73,                0.84577,                0.59955,                0.92154,                0.97421,                0.87871,                0.91333,                0.62204,                0.89571,                0.67783,                0.91814,              0.0015248,              0.0015248,              0.0015248
                     74,                0.84171,                0.55544,                0.92128,                0.90099,                0.88372,                0.95975,                0.68861,                 1.0269,                0.65108,                0.95964,              0.0015182,              0.0015182,              0.0015182
                     75,                0.89814,                0.59312,                0.92339,                0.87226,                0.90698,                0.96102,                0.65513,                0.99865,                0.61904,                0.95663,              0.0015116,              0.0015116,              0.0015116
                     76,                0.83166,                0.55883,                0.90462,                0.84769,                0.90604,                0.93844,                0.66497,                0.96904,                0.67018,                0.93286,               0.001505,               0.001505,               0.001505
                     77,                0.82901,                 0.5608,                0.92669,                0.84054,                0.88372,                0.90392,                0.62962,                0.99003,                0.63145,                0.96571,              0.0014984,              0.0014984,              0.0014984
                     78,                 0.8504,                0.57524,                0.92614,                0.89617,                0.86047,                0.91989,                0.65858,                0.84344,                0.58718,                0.91287,              0.0014918,              0.0014918,              0.0014918
                     79,                0.87094,                 0.5681,                0.91284,                0.97267,                 0.8279,                0.90675,                0.65171,                0.86235,                0.63139,                0.90615,              0.0014852,              0.0014852,              0.0014852
                     80,                 0.8946,                 0.5788,                0.93281,                0.94481,                0.79643,                0.90802,                0.65041,                0.95503,                0.70489,                0.98539,              0.0014786,              0.0014786,              0.0014786
                     81,                0.86296,                0.57196,                0.92088,                      1,                0.80837,                0.93416,                 0.6815,                0.83879,                0.60925,                0.90115,               0.001472,               0.001472,               0.001472
                     82,                0.83834,                0.55997,                0.91823,                 0.9747,                0.90698,                0.95813,                0.69238,                0.87501,                0.56848,                0.91873,              0.0014654,              0.0014654,              0.0014654
                     83,                0.90794,                0.57458,                0.91573,                0.88811,                0.95349,                0.95492,                0.70589,                0.85543,                0.55438,                0.91676,              0.0014588,              0.0014588,              0.0014588
